Crisis Pregnancy Center,Street Address,City,State,Zip,Affiliation,Website,Advertises APR?,Facebook,Twitter,Google+,YouTube,Pinterest,Instagram,LinkedIn
REAL LIFE PREGNANCY CENTER - ALBERTVILLE,"104 West Alabama Avenue, Suite F",Albertville,AL,35950,Care Net,http://www.reallifecpc.org/,,,,,,,,
SAV-A-LIFE OF TALLAPOOSA COUNTY,11 Lafayette Street,Alexander City,AL,35010,Care Net,http://www.acsavalife.com/,,,,,,,,
"SAV-A-LIFE FAMILY HOPE CENTER OF COVINGTON COUNTY, INC.","1835 East Three Notch Street, Suite D",Andalusia,AL,36420,Care Net,http://www.savalifefhc.com/,,https://www.facebook.com/savalifefhc/,,,,,,
HOPE WOMEN'S SERVICES,"1506 Leighton Avenue, Suite A",Anniston,AL,36207,Heartbeat International,http://hopewomensservices.com/HOPE_Womens_Services/HOPE_Basic_Info.html,Yes,,,,,,,
WOMEN'S RESOURCE CENTER,206 South Madison Street,Athens,AL,35612,Care Net,http://www.savalifeathens.org/,,https://www.facebook.com/athensALcenter/,https://twitter.com/athensalcenter,,,,,
WOMEN'S RESOURCE CENTER OF ESCAMBIA - ATMORE,204 South Pensacola Avenue,Atmore,AL,36502,Care Net,http://www.wrcescambia.com/,,,,,,,,
WOMEN'S HOPE MEDICAL CLINIC,832 Stage Road,Auburn,AL,36830,Care Net,http://womenshope.org/,,https://www.facebook.com/WomensHopeMedicalClinic/,,,,,https://www.instagram.com/whauburn/,
HER CHOICE BIRMINGHAM WOMEN'S CENTER,2120 7th Avenue S,Birmingham,AL,35233,,http://herchoicebirmingham.org/,,,,,,,,
SAV-A-LIFE PREGNANCY TEST CENTER,1480 McGuire Road,Birmingham,AL,35216,Care Net,http://ptcbirmingham.com/,,https://www.facebook.com/PregnancyTestCenterBirmingham?fref=ts,,,,,,
WOMEN'S RESOURCE CENTER OF ESCAMBIA - BREWTON,1311 McMillan Avenue,Brewton,AL,36426,Care Net,http://www.wrcescambia.com/,,,,,,,,
"CARE NET PREGNANCY RESOURCE CENTER OF CHILTON CO, INC",1622 7th Street N,Clanton,AL,35045,Care Net,http://chiltonwomenscenter.com/,,,,,,,,
"ANN'S NEW LIFE CENTER FOR WOMEN, INC.","3440 Martin Street, Suite #1",Cropwell,AL,35054,Heartbeat International,http://annsnewlifecenter.com/,Yes,https://www.facebook.com/AnnsNewLifeCenter/,,,,,,
SAV-A-LIFE PREGNANCY CENTER,801 Bradley Street SW,Decatur,AL,35601,Care Net,https://www.decaturpregnancy.com/,,https://www.facebook.com/SavALifePregnancyCenter.DecaturAL/?ref=bookmarks,,,,,,
WIREGRASS HOPE GROUP,171 Westgate Parkway,Dothan,AL,36303,Care Net,http://wiregrasshope.com/,,,,,,,,
"ALWAYS HOPE PREGNANCY CENTER, INC.",1225 Rucker Boulevard,Enterprise,AL,36330,,,,https://www.facebook.com/Always-Hope-Pregnancy-Center-Inc-187286624632358/,,,,,,
WIREGRASS EMERGENCY PREGNANCY SERVICE,"557 Glover Avenue, Suite #6",Enterprise,AL,36330,Heartbeat International,,Yes,https://www.facebook.com/WEPS4LIFE,,,,,,
CRISIS PREGNANCY CENTER OF BARBOUR COUNTY,604 South Eufaula Avenue,Eufaula,AL,36027,Care Net,,,,,,,,,
HOPE'S CHOICE OF ALABAMA,314 1st Avenue NE,Fayette,AL,35555,,http://hopeschoiceofalabama.com/,,https://www.facebook.com/Hopes-Choice-158213150955321/,,,,,,
SHOALS SAV-A-LIFE,2201 Cloyd Boulevard,Florence,AL,35630,Care Net,http://www.shoalssavalife.com/,,https://www.facebook.com/shoalssavalife/,https://twitter.com/SavALife7400640,,https://www.youtube.com/user/ShoalsSavALife,,https://www.instagram.com/shoalssavalife/,
"WOMEN'S CARE CENTER/SAV-A-LIFE OF DEKALB COUNTY, INC.",107 4th Street SW,Fort Payne,AL,35967,Care Net,,,https://www.facebook.com/Womens-Care-CenterSav-A-Life-of-DeKalb-Co-Inc-104316526963/,,,,,,
NORTH JEFFERSON WOMEN'S CENTER,1209 Decatur Highway,Fultondale,AL,35068,Care Net,http://www.njwomenscenter.org/,,,,,,,,
REAL LIFE PREGNANCY CENTER - GUNTERSVILLE,"1939 Patterson Street, Suite #101",Guntersville,AL,35976,,http://www.reallifecpc.org/,,,,,,,,
FIRST SOURCE FOR WOMEN,203 Commercial Street,Hanceville,AL,35077,Heartbeat International,http://www.firstsourceforwomen.org/,Yes,,,,,,,
"SAV-A-LIFE BESSEMER, INC.",2719 19th Street N,Hueytown,AL,35023,Care Net,http://www.savalifebessemer.org/,,,,,,,,
"CHOOSE LIFE OF NORTH ALABAMA, INC.",220 Rands Avenue,Huntsville,AL,35801,Care Net,http://www.chooselifehuntsville.org/,,,,,,,,
ALPHA WOMEN'S RESOURCE CENTER,6479 Highway 43 N,Jackson,AL,36545,Care Net,http://www.pregnancytesthelp.com/,,,,,,,,
JACKSONVILLE SAV-A-LIFE,301 Henry Road SW,Jacksonville,AL,36207,Heartbeat International,http://www.savalifecalhouncounty.org/Sav-A-Life/Welcome.html,Yes,,,,,,,
PREGNANCY TEST AND RESOURCE CENTER,1707 2nd Avenue,Jasper,AL,35501,Care Net,http://www.ptrcjasper.org/,,,,,,,,
"SAV-A-LIFE OF LANETT VALLEY, INC.",711 North 4th Avenue,Lanett,AL,36863,Care Net,http://lanettpregnancy.org/,,https://www.facebook.com/Savalifelanett,,,,,,
WOMEN'S RESOURCE CENTER - MEDICAL RESOURCE CENTER,718 Downtowner Loop  West,Mobile,AL,36609,Care Net,http://www.wrcmobile.org/,,https://www.facebook.com/WRCMobile,,,,,https://www.instagram.com/wrc_mobile/,
WOMEN'S HOPE CENTER,276 West Claiborne Street,Monroeville,AL,36460,,,,,,,,,,
COPE PREGNANCY CENTER,2158 Madison Avenue,Montgomery,AL,36107,Heartbeat International,http://www.copehouse.org/,Yes,,,,,,,
FIRST CHOICE WOMEN'S MEDICAL CENTER,380 Mendel Parkway,Montgomery,AL,36107,Care Net,http://firstchoicewmc.com/,,https://www.facebook.com/FirstChoiceWMC/,,,,,,
BLOUNT COUNTY SAV-A-LIFE,311 1st Avenue E,Oneonta,AL,35121,Care Net,http://www.bcsavalife.com/,,https://www.facebook.com/Blount-County-Sav-A-Life-102494459804263/,,,,,,
DALE COUNTY PREGNANCY CENTER,1889 Andrews Avenue,Ozark,AL,36361,Care Net,http://savalifeozark.org/,,https://www.facebook.com/SaveaLifeOzark,,,,,,
SAV-A-LIFE SHELBY PREGNANCY RESOURCE CENTER,3156 Pelham Parkway,Pelham,AL,35124,Care Net,http://www.ichoosetoday.org/,,https://www.facebook.com/savalifeshelby,,,,,,
RIVER REGION PREGNANCY CENTER,101 East 4th Street,Prattville,AL,36067,Care Net,http://amipregnantrrpc.com/,,https://www.facebook.com/AmIPregnantRRPC/,,,,,,
MARY'S HAVEN PREGNANCY & FAMILY RESOURCE CENTER,511 North Memorial Drive,Prattville,AL,36067,Heartbeat International,http://www.maryshaven.com/,Yes,https://www.facebook.com/MarysHaven,,,,,,
ETOWAH PREGNANCY TESTING CENTER,119 Church Street,Rainbow City,AL,35906,Care Net,http://www.lovethemboth.org/,,https://www.facebook.com/etowahptc/,,,,,,
WOMEN'S CARE MEDICAL CENTER,18555 Carolina Street,Robertsdale,AL,36567,Care Net,http://www.womenscaremedicalcenter.org/,,,,,,,,
WOMEN'S RESOURCE CENTER - SARALAND,"1088 Industrial Parkway, Suite #3",Saraland,AL,36571,Care Net,http://wrcmobile.org/,,https://www.facebook.com/WRCMobile,,,,,https://www.instagram.com/wrc_mobile/,
TURNING POINT PREGNANCY CENTER,510 Harley Street,Scottsboro,AL,35768,Care Net,http://www.turningpointscottsboro.com/,,https://www.facebook.com/TurningPointPC/,,,,,,
SAFE HARBOR WOMEN'S MEDICAL CLINIC,408 Dallas Avenue,Selma,AL,36701,,http://safeharborwmc.org/,,https://www.facebook.com/savalife/,,,,,,
SELMA- DALLAS COUNTY SAV-A-LIFE,218 Union Street,Selma,AL,36701,Care Net,,,,,,,,,
ST. CLAIR COUNTY SAV-A-LIFE,6426 U.S. Highway 11,Springville,AL,35146,Care Net,http://www.stclairsavalife.com/,,https://www.facebook.com/elmorecountypregnancycenter/,,,,,,
COOSA VALLEY RESOURCES FOR WOMEN,1259 Talladega Highway,Sylacauga,AL,35150,Care Net,,,https://www.facebook.com/Resources4WomenSylacauga,,,,,,
LIFE CHOICE PREGNANCY CENTER,403 James Street,Tallassee,AL,36078,Care Net,http://www.lifechoicepregnancy.com/,,,,,,,,
WOMEN'S LIFE CENTER,523 South Three Notch Street,Troy,AL,36081,Care Net,http://www.savalifetroy.org/,,,,,,,,
CHOICES PREGNANCY CLINIC,535 Jack Warner Parkway NE,Tuscaloosa,AL,35404,Care Net,http://choicespregnancyclinic.org/,,,,,,,,
ELMORE COUNTY PREGNANCY CENTER,104 Company Street,Wetumpka,AL,36092,Care Net,http://www.hopewetumpka.org/,,https://www.facebook.com/elmorecountypregnancycenter/,,,,,,
COMMUNITY PREGNANCY CENTER OF ANCHORAGE,4231 Lake Otis Parkway,Anchorage,AK,99508,Care Net,http://www.cpcanchorage.com/,,https://www.facebook.com/cpcanchorage/,,,,,https://www.instagram.com/communitypregnancycenterak/,
HEART TO HEART PREGNANCY & FAMILY RESOURCE CENTER,12110 Business Boulevard,Eagle River,AK,99577,Care Net,http://www.h2hprc.org/,,https://www.facebook.com/HearttoHeartPRC/,,,,,https://www.instagram.com/hearttoheartak/,
CARE NET PREGNANCY CENTER OF THE TANANA VALLEY,1402 Wilbur Street,Fairbanks,AK,99701,Care Net,http://CareNetfairbanks.com/,,https://www.facebook.com/FyndoutFreePregnancyCenter/,,,,,,
COPPER BASIN PREGNANCY CENTER,107 Aurora Drive,Glennallen,AK,99588,Heartbeat International,,Yes,,,,,,,
PREGNANCY CARE CENTER OF HOMER,3896 Bartlett Street,Homer,AK,99603,Care Net,http://pccofhomer.com/,,https://www.facebook.com/Waters-Edge-A-Family-Resource-Center-218637701514702/,,,,,,
ABC PREGNANCY CARE CENTER,501 Frontage Road,Kenai,AK,99611,Care Net,http://www.abcwecare.org/,,,,,,,,
KODIAK CRISIS PREGNANCY CENTER,"311 Center Avenue, Suite #211",Kodiak,AK,99615,,http://www.kodiakpregnancyhelp.org/,,,,,,,,
SITKA PREGNANCY CENTER,"180 Price Street, Suite #25",Sitka,AK,99835,Heartbeat International,https://www.sitkapregnancycenter.org/,Yes,https://www.facebook.com/Sitka-Pregnancy-Center-1396803657000453/,,,,,,
HEARTREACH CENTER,865 South Seward Meridian Parkway,Wasilla,AK,99654,Care Net,http://www.matsupregnancy.com/,,,,,,,,
"HANNAH'S PLACE, INC.",220 Church Street,Wrangell,AK,99929,Heartbeat International,http://www.hannahsplaceinc.com/,Yes,https://www.facebook.com/HannahsPlaceInc,,,,,,
HOPE WOMEN'S CENTER,252 N Ironwood Dr,Apache Junction,AZ,85117,,http://hopewomenscenter,,https://www.facebook.com/HopeWomensCenterApacheJunction/,,,,,,
NEW LIFE PREGNANCY CENTER - AVONDALE,1001 North Central Avenue,Avondale,AZ,85323,Heartbeat International,http://www.newlifepregnancy.com/nlpc,Yes,https://www.facebook.com/nlpcAZ/,https://twitter.com/nlpcaz,,https://www.youtube.com/user/ABCSministries,,https://www.instagram.com/ABCSministries/,
NEW LIFE PREGNANCY CENTER - BULLHEAD CITY,"2636 Highway 95, Suite #14",Bullhead City,AZ,86439,Heartbeat International,http://www.newlifepregnancy.com/nlpc,Yes,https://www.facebook.com/nlpcAZ/,https://twitter.com/nlpcaz,,https://www.youtube.com/user/ABCSministries,,https://www.instagram.com/ABCSministries/,
NEW LIFE PREGNANCY CENTER - CASA GRANDE,1101 East Trinity Place,Casa Grande,AZ,85122,Heartbeat International,http://www.newlifepregnancy.com/nlpc,Yes,https://www.facebook.com/nlpcAZ/,https://twitter.com/nlpcaz,,https://www.youtube.com/user/ABCSministries,,https://www.instagram.com/ABCSministries/,
PREGNANCY CARE CENTERS OF CHANDLER AND GILBERT - CHANDLER,"590 North Alma School Road, Suite #20",Chandler,AZ,85224,Care Net,http://pccchandler.com/,,,,,,,,
HOUSE OF RUTH PREGNANCY CARE CENTER,1198 East Mingus Avenue,Cottonwood,AZ,86326,Heartbeat International,http://www.houseofruthpcc.com/,Yes,,,,,,,
ADVICE AND AID PREGNANCY CENTER - DOLAN SPRINGS,15385 Pierce Ferry Road,Dolan Springs,AZ,86441,,,,,,,,,,
HOPE PREGNANCY RESOURCE CENTER,224 South Kendrick Street,Flagstaff,AZ,86001,Heartbeat International,http://hopeprc.net/,Yes,,,,,,,
PREGNANCY CARE CENTERS OF CHANDLER AND GILBERT - GILBERT,"894 East Warner Road, Suite #103",Gilbert,AZ,85296,,http://www.pccchandler.com/,,,,,,,,
CHOICES PREGNANCY CENTER - GLENDALE,10555 North 58th Drive,Glendale,AZ,85302,Heartbeat International,http://choicesaz.com/,Yes,https://www.facebook.com/choicesaz/,https://twitter.com/ChoicesAZ,,,,,
ADVICE AND AID PREGNANCY CENTER - KINGMAN,2975 Northern Avenue,Kingman,AZ,86409,,http://www.pregnancyadviceaid.org/page/page/2468288.htm,,,,,,,,
LAKE HAVASU CITY PREGNANCY CARE,"1960 Mesquite Avenue, Suite D",Lake Havasu City,AZ,86403,,https://www.lakehavasupregnancycare.com/,,,,,,,,
A HEART FOR YOU PREGNANCY CENTER,18705 North John Wayne Parkway,Maricopa,AZ,85139,,,,,,,,,,
CHOICES PREGNANCY CENTER - MESA,1818 East Southern Avenue,Mesa,AZ,85204,Heartbeat International,http://choicesaz.com/,Yes,https://www.facebook.com/choicesaz/,https://twitter.com/ChoicesAZ,,https://www.youtube.com/user/ABCSministries,,,
NEW LIFE PREGNANCY CENTER - MESA,819 South MacDonald,Mesa,AZ,85210,Heartbeat International,http://www.newlifepregnancy.com/nlpc,Yes,https://www.facebook.com/nlpcAZ/,https://twitter.com/nlpcaz,,https://www.youtube.com/user/ABCSministries,,https://www.instagram.com/ABCSministries/,
"FAMILY FIRST PREGNANCY CARE CENTER AND FAMILY DIAPER BANK, INC.","1575 West American Avenue, Suite A",Oracle,AZ,85623,Heartbeat International,http://familyfirstpcc.org/,Yes,,,,,,,
NEW BEGINNINGS CENTER,"701 South Ponderosa Street, Suite A",Payson,AZ,85541,,,,,,,,,,
PREGNANCY COUNSELING,4747 7th Avenue,Phoenix,AZ,85013,,https://www.catholiccharitiesaz.org/all-locations/pregnancy-counseling,,,,,,,,
ESPERANZA WOMEN'S CENTER,"1500 East Thomas Road, Suite #101",Phoenix,AZ,85014,,http://www.esperanzawomenscenter.org/,,,,,,,,
FIRST WAY PREGNANCY CENTER,3501 North 16th Street,Phoenix,AZ,85016,"The National Life Center, Inc.",,,,,,,,,
LIFE CHOICES WOMEN'S CLINIC - 7TH STREET,9303 N 7th St,Phoenix,AZ,85020,Heartbeat International,http://www.lcwcaz.org/,Yes,,,,,,,
